ID	C1S1O1	C1S1O10	C1S1O19	C1S2O116	C2S3O283	C2S3O285	C2S3O289	C2S3O292	C2S3O432	C2S3O439	C3S4O567	C3S5O621	cLabel	pLabel	cSize
c3ds3c3sc6-AL-E-k6.clu	0	0	0	0	1	1	0	0	0	0	0	0	c3	ds3c3sc6-AL-E-k6.clu	89.0
c4ds3c3sc6-AL-E-k6.clu	0	0	0	0	0	0	1	1	0	0	0	0	c4	ds3c3sc6-AL-E-k6.clu	88.0
c5ds3c3sc6-AL-E-k7.clu	0	0	0	0	0	0	1	1	0	0	0	0	c5	ds3c3sc6-AL-E-k7.clu	88.0
c5ds3c3sc6-AL-E-k9.clu	0	0	0	0	0	0	1	1	0	0	0	0	c5	ds3c3sc6-AL-E-k9.clu	88.0
c5ds3c3sc6-AL-E-k8.clu	0	0	0	0	0	0	1	1	0	0	0	0	c5	ds3c3sc6-AL-E-k8.clu	88.0
c3ds3c3sc6-AL-E-k11.clu	0	1	0	0	0	0	0	0	0	0	0	0	c3	ds3c3sc6-AL-E-k11.clu	72.0
c3ds3c3sc6-AL-E-k7.clu	0	1	0	0	0	0	0	0	0	0	0	0	c3	ds3c3sc6-AL-E-k7.clu	72.0
c3ds3c3sc6-AL-E-k8.clu	0	1	0	0	0	0	0	0	0	0	0	0	c3	ds3c3sc6-AL-E-k8.clu	72.0
c3ds3c3sc6-AL-E-k9.clu	0	1	0	0	0	0	0	0	0	0	0	0	c3	ds3c3sc6-AL-E-k9.clu	72.0
c3ds3c3sc6-AL-E-k12.clu	0	1	0	0	0	0	0	0	0	0	0	0	c3	ds3c3sc6-AL-E-k12.clu	72.0
c6ds3c3sc6-AL-E-k8.clu	0	0	0	0	0	0	0	0	1	0	0	0	c6	ds3c3sc6-AL-E-k8.clu	63.0
c6ds3c3sc6-AL-E-k9.clu	0	0	0	0	0	0	0	0	1	0	0	0	c6	ds3c3sc6-AL-E-k9.clu	63.0
c8ds3c3sc6-AL-E-k11.clu	0	0	0	0	0	0	0	0	1	0	0	0	c8	ds3c3sc6-AL-E-k11.clu	63.0
c9ds3c3sc6-AL-E-k12.clu	0	0	0	0	0	0	0	0	1	0	0	0	c9	ds3c3sc6-AL-E-k12.clu	63.0
c6ds3c3sc6-AL-E-k11.clu	0	0	0	0	0	0	1	0	0	0	0	0	c6	ds3c3sc6-AL-E-k11.clu	59.0
c7ds3c3sc6-AL-E-k12.clu	0	0	0	0	0	0	1	0	0	0	0	0	c7	ds3c3sc6-AL-E-k12.clu	59.0
c1ds3c3sc6-AL-E-k11.clu	1	0	0	0	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k11.clu	51.0
c1ds3c3sc6-AL-E-k12.clu	1	0	0	0	0	0	0	0	0	0	0	0	c1	ds3c3sc6-AL-E-k12.clu	51.0
c5ds3c3sc6-AL-E-k12.clu	0	0	0	0	1	0	0	0	0	0	0	0	c5	ds3c3sc6-AL-E-k12.clu	48.0
c9ds3c3sc6-AL-E-k11.clu	0	0	0	0	0	0	0	0	0	1	0	0	c9	ds3c3sc6-AL-E-k11.clu	45.0
c7ds3c3sc6-AL-E-k9.clu	0	0	0	0	0	0	0	0	0	1	0	0	c7	ds3c3sc6-AL-E-k9.clu	45.0
c10ds3c3sc6-AL-E-k12.clu	0	0	0	0	0	0	0	0	0	1	0	0	c10	ds3c3sc6-AL-E-k12.clu	45.0
c7ds3c3sc6-AL-E-k8.clu	0	0	0	0	0	0	0	0	0	1	0	0	c7	ds3c3sc6-AL-E-k8.clu	45.0
c4ds3c3sc6-AL-E-k11.clu	0	0	0	1	0	0	0	0	0	0	0	0	c4	ds3c3sc6-AL-E-k11.clu	44.0
c4ds3c3sc6-AL-E-k12.clu	0	0	0	1	0	0	0	0	0	0	0	0	c4	ds3c3sc6-AL-E-k12.clu	44.0
c6ds3c3sc6-AL-E-k12.clu	0	0	0	0	0	1	0	0	0	0	0	0	c6	ds3c3sc6-AL-E-k12.clu	41.0
c7ds3c3sc6-AL-E-k11.clu	0	0	0	0	0	0	0	1	0	0	0	0	c7	ds3c3sc6-AL-E-k11.clu	29.0
c8ds3c3sc6-AL-E-k12.clu	0	0	0	0	0	0	0	1	0	0	0	0	c8	ds3c3sc6-AL-E-k12.clu	29.0
